Year,ice-extent,hemisphere
1978.0,12.487,north
1979.0,12.319560439560439,north
1980.0,12.334147540983606,north
1981.0,12.135486338797813,north
1982.0,12.439445054945054,north
1983.0,12.335896174863388,north
1984.0,11.912601092896175,north
1985.0,11.986598901098901,north
1986.0,12.208224043715846,north
1987.0,11.397227272727273,north
1988.0,12.093169491525424,north
1989.0,11.966854794520549,north
1990.0,11.693841095890413,north
1991.0,11.749257534246576,north
1992.0,12.11048087431694,north
1993.0,11.92305205479452,north
1994.0,12.011317808219179,north
1995.0,11.415109589041096,north
1996.0,11.840786885245901,north
1997.0,11.667613698630138,north
1998.0,11.75738082191781,north
1999.0,11.691465753424659,north
2000.0,11.508174863387978,north
2001.0,11.600016438356166,north
2002.0,11.362865753424657,north
2003.0,11.397221917808219,north
2004.0,11.240434426229507,north
2005.0,10.906975342465753,north
2006.0,10.772613698630137,north
2007.0,10.47409589041096,north
2008.0,10.977846994535518,north
2009.0,10.931969863013698,north
2010.0,10.711391780821918,north
2011.0,10.483495890410959,north
2012.0,10.406098360655738,north
2013.0,10.89711506849315,north
2014.0,10.79049589041096,north
2015.0,10.565816438356165,north
2016.0,10.163478142076503,north
2017.0,10.392701369863014,north
2018.0,10.355041095890412,north
2019.0,10.200983561643836,north
2020.0,10.149868852459017,north
2021.0,10.551783561643836,north
2022.0,10.661424657534246,north
2023.0,10.469769863013699,north
2024.0,13.885481481481483,north
1978.0,13.466676470588236,south
1979.0,11.719137362637362,south
1980.0,11.236289617486339,south
1981.0,11.416808743169398,south
1982.0,11.658065934065934,south
1983.0,11.369912568306011,south
1984.0,11.449677595628415,south
1985.0,11.63382967032967,south
1986.0,11.071322404371584,south
1987.0,12.901595454545456,south
1988.0,11.685189265536723,south
1989.0,11.425679452054794,south
1990.0,11.409594520547946,south
1991.0,11.544873972602739,south
1992.0,11.398617486338798,south
1993.0,11.419939726027398,south
1994.0,11.773969863013699,south
1995.0,11.794756164383562,south
1996.0,11.769128415300546,south
1997.0,11.39005205479452,south
1998.0,11.738372602739727,south
1999.0,11.760682191780823,south
2000.0,11.747226775956284,south
2001.0,11.672624657534246,south
2002.0,11.221608219178083,south
2003.0,11.969287671232877,south
2004.0,11.961497267759563,south
2005.0,11.694879452054796,south
2006.0,11.460912328767124,south
2007.0,11.687106849315068,south
2008.0,12.239407103825135,south
2009.0,12.048591780821917,south
2010.0,12.106791780821919,south
2011.0,11.500572602739725,south
2012.0,12.004437158469944,south
2013.0,12.523605479452055,south
2014.0,12.776126027397261,south
2015.0,12.414101369863014,south
2016.0,11.20211475409836,south
2017.0,10.74892602739726,south
2018.0,10.999969863013698,south
2019.0,10.876060273972604,south
2020.0,11.602401639344263,south
2021.0,11.578682191780823,south
2022.0,10.726002739726027,south
2023.0,9.852698630136986,south
2024.0,4.171703703703703,south
